"filename", "language", "JSON", "Python", "Shell Script", "YAML", "Markdown", "TOML", "Docker", "XML", "PostCSS", "JavaScript", "HTML", "comment", "blank", "total"
"c:\Users\19404\Desktop\Projects\wanz_prase2_001\configs\config2.yaml", "YAML", 0, 0, 0, 71, 0, 0, 0, 0, 0, 0, 0, 28, 13, 112
"c:\Users\19404\Desktop\Projects\wanz_prase2_001\deploy.sh", "Shell Script", 0, 0, 145, 0, 0, 0, 0, 0, 0, 0, 0, 24, 36, 205
"c:\Users\19404\Desktop\Projects\wanz_prase2_001\docker-compose.yaml", "YAML", 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 3, 1, 25
"c:\Users\19404\Desktop\Projects\wanz_prase2_001\docs\API_DOCUMENTATION.md", "Markdown", 0, 0, 0, 0, 1168, 0, 0, 0, 0, 0, 0, 0, 350, 1518
"c:\Users\19404\Desktop\Projects\wanz_prase2_001\docs\ASYNC_CALLBACK.md", "Markdown", 0, 0, 0, 0, 330, 0, 0, 0, 0, 0, 0, 0, 90, 420
"c:\Users\19404\Desktop\Projects\wanz_prase2_001\docs\CONFIGURATION_GUIDE.md", "Markdown", 0, 0, 0, 0, 698, 0, 0, 0, 0, 0, 0, 0, 180, 878
"c:\Users\19404\Desktop\Projects\wanz_prase2_001\docs\DATABASE_SCHEMA.md", "Markdown", 0, 0, 0, 0, 691, 0, 0, 0, 0, 0, 0, 0, 153, 844
"c:\Users\19404\Desktop\Projects\wanz_prase2_001\docs\openapi.json", "JSON", 2542, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2542
"c:\Users\19404\Desktop\Projects\wanz_prase2_001\docs\superpowers\plans\2026-05-10-vl-extraction-methods.md", "Markdown", 0, 0, 0, 0, 2372, 0, 0, 0, 0, 0, 0, 0, 661, 3033
"c:\Users\19404\Desktop\Projects\wanz_prase2_001\docs\superpowers\plans\2026-05-12-startup-config-check.md", "Markdown", 0, 0, 0, 0, 545, 0, 0, 0, 0, 0, 0, 0, 163, 708
"c:\Users\19404\Desktop\Projects\wanz_prase2_001\docs\superpowers\plans\2026-05-13-extraction-page-search.md", "Markdown", 0, 0, 0, 0, 668, 0, 0, 0, 0, 0, 0, 0, 219, 887
"c:\Users\19404\Desktop\Projects\wanz_prase2_001\docs\superpowers\plans\2026-05-13-file-detail-outline-tab.md", "Markdown", 0, 0, 0, 0, 232, 0, 0, 0, 0, 0, 0, 0, 91, 323
"c:\Users\19404\Desktop\Projects\wanz_prase2_001\docs\superpowers\plans\2026-05-18-delete-file-non-blocking.md", "Markdown", 0, 0, 0, 0, 348, 0, 0, 0, 0, 0, 0, 0, 153, 501
"c:\Users\19404\Desktop\Projects\wanz_prase2_001\docs\superpowers\specs\2026-05-10-vl-extraction-methods-design.md", "Markdown", 0, 0, 0, 0, 366, 0, 0, 0, 0, 0, 0, 0, 108, 474
"c:\Users\19404\Desktop\Projects\wanz_prase2_001\docs\superpowers\specs\2026-05-12-startup-config-check-design.md", "Markdown", 0, 0, 0, 0, 116, 0, 0, 0, 0, 0, 0, 0, 38, 154
"c:\Users\19404\Desktop\Projects\wanz_prase2_001\docs\superpowers\specs\2026-05-13-extraction-page-search-design.md", "Markdown", 0, 0, 0, 0, 130, 0, 0, 0, 0, 0, 0, 0, 49, 179
"c:\Users\19404\Desktop\Projects\wanz_prase2_001\logs\__init__.py", "Python", 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 13, 47
"c:\Users\19404\Desktop\Projects\wanz_prase2_001\model\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
